oldTax;newTax
Inferentiële statistiek,Toetstheorie,Regressie (inferentiële stat.),Toets (H0 : ß1 = 0), Tgh m.b.v. T-verdeling,p-waarde;Inferential Statistics/Regression/Coefficient t-test
Inferentiële statistiek,Toetstheorie,Risico alpha of beta (fout van de eerste of tweede soort);Inferential Statistics/NHST/Statistical errors
Inferentiële statistiek,Toetstheorie,Risico alpha of beta (fout van de eerste of tweede soort),Power en steekproefomvang;Inferential Statistics/NHST/Statistical errors
Inferentiële statistiek,Toetstheorie,Statistische significantie, H0 wel/niet verwerpen, conclusie in context;Inferential Statistics/NHST/Hypothesis/Null hypothesis
Inferentiële statistiek,Toetstheorie,T-Toetsen,Gepaarde T toets,Kritieke waarde / kritiek gebied;Inferential Statistics/Parametric Techniques/t-test/Paired samples
Inferentiële statistiek,Toetstheorie,T-Toetsen,Gepaarde T toets,Toetsingsgrootheid (tgh);Inferential Statistics/Parametric Techniques/t-test/Paired samples
Inferentiële statistiek,Toetstheorie,T-Toetsen,T toets voor 2 onafh. Steekproeven,Kritieke waarde / kritiek gebied;Inferential Statistics/Parametric Techniques/t-test/Independent samples means
Inferentiële statistiek,Toetstheorie,T-Toetsen,T toets voor 2 onafh. Steekproeven,Toetsingsgrootheid (tgh);Inferential Statistics/Parametric Techniques/t-test/Independent samples means
Inferentiële statistiek,Toetstheorie,Toetsingsgrootheid (tgh);Inferential Statistics/Parametric Techniques/t-test
Inferentiële statistiek,Toetstheorie,Z-toets,(normaal verdeeld, mu onbekend, sigma bekend),Kritieke waarde / kritiek gebied;Inferential Statistics/Parametric Techniques/z-test
Inferentiële statistiek,Toetstheorie,Z-toets,(normaal verdeeld, mu onbekend, sigma bekend),Toetsingsgrootheid (tgh);Inferential Statistics/Parametric Techniques/z-test
Inferentiële statistiek,Z-toets,(normaal verdeeld, mu onbekend, sigma bekend);Inferential Statistics/Parametric Techniques/z-test
Kansdefinities,Klassieke kansdefinitie;Probability/Elementary Probability
Kansdefinities,Uitkomstenruimte (even waarschijnlijke uitkomsten);Probability/Elementary Probability/Sample Space
Kansrekening;Probability
Kansrekening,Kansdefinities,Gebeurtenis;Probability/Elementary Probability/Events
Kansrekening,Kansdefinities,Kansrekening (ond.),Complementregel,Klassieke kansdefinitie;Probability/Elementary Probability/General Rules
Kansrekening,Kansdefinities,Kansrekening (ond.),Productregel,Klassieke kansdefinitie;Probability/Elementary Probability/General Rules/Multiplication rule
Kansrekening,Kansdefinities,Kansrekening (ond.),Productregel,Onafhankelijkheid van twee of meer gebeurtenissen;Probability/Elementary Probability/General Rules/Independent events
Kansrekening,Kansdefinities,Kansrekening (ond.),Productregel,Relatieve frequentie kansdefinitie;Probability/Elementary Probability/General Rules/Multiplication rule
Kansrekening,Kansdefinities,Kansrekening (ond.),Productregel,Uitkomstenruimte (even waarschijnlijke uitkomsten);Probability/Elementary Probability/General Rules/Multiplication rule
Kansrekening,Kansdefinities,Kansrekening (ond.),Somregel,Onafhankelijkheid van twee of meer gebeurtenissen;Probability/Elementary Probability/General Rules/Addition rule
Kansrekening,Kansdefinities,Kansrekening (ond.),Somregel,Relatieve frequentie kansdefinitie;Probability/Elementary Probability/General Rules/Addition rule
Kansrekening,Kansdefinities,Kansverdeling,Binomiale verdeling,Klassieke kansdefinitie;Distributions/Discrete/Binomial
Kansrekening,Kansdefinities,Kansverdeling,Normale verdeling,Onafhankelijkheid van twee of meer gebeurtenissen;Probability/Elementary Probability/General Rules/Independent events
Kansrekening,Kansdefinities,Kansverdeling,Uniforme verdeling,Relatieve frequentie kansdefinitie;Distributions/Continuous/Uniform
Kansrekening,Kansdefinities,Kansverdeling,Voorwaardelijke kansen,Klassieke kansdefinitie;Probability/Elementary Probability/Conditional probability
Kansrekening,Kansdefinities,Kansverdeling,Voorwaardelijke kansen,Onafhankelijkheid van twee of meer gebeurtenissen;Probability/Elementary Probability/Conditional probability
Kansrekening,Kansdefinities,Klassieke kansdefinitie;Probability/Elementary Probability
Kansrekening,Kansdefinities,Klassieke kansdefinitie,Gebeurtenis;Probability/Elementary Probability/Events
Kansrekening,Kansdefinities,Klassieke kansdefinitie,Onafhankelijkheid van twee of meer gebeurtenissen;Probability/Elementary Probability/General Rules/Independent events
Kansrekening,Kansdefinities,Klassieke kansdefinitie,Uitkomstenruimte (even waarschijnlijke uitkomsten);Probability/Elementary Probability/Sample Space
Kansrekening,Kansdefinities,Onafhankelijkheid van twee of meer gebeurtenissen;Probability/Elementary Probability/General Rules/Independent events
Kansrekening,Kansdefinities,Relatieve frequentie kansdefinitie;Probability/Elementary Probability
Kansrekening,Kansdefinities,Relatieve frequentie kansdefinitie,Uitkomstenruimte (even waarschijnlijke uitkomsten);Probability/Elementary Probability/Sample Space
Kansrekening,Kansdefinities,Uitkomstenruimte (even waarschijnlijke uitkomsten);Probability/Elementary Probability/Sample Space
Kansrekening,Kansdefinities,Uitkomstenruimte (even waarschijnlijke uitkomsten),Onafhankelijkheid van twee of meer gebeurtenissen;Probability/Elementary Probability/Sample Space
Kansrekening,Kansrekening (ond.),Complementregel;Probability/Elementary Probability/General Rules
Kansrekening,Kansrekening (ond.),Complementregel,Productregel;Probability/Elementary Probability/General Rules/Multiplication rule
Kansrekening,Kansrekening (ond.),Complementregel,Somregel;Probability/Elementary Probability/General Rules/Addition rule
Kansrekening,Kansrekening (ond.),Complementregel,Somregel,Productregel;Probability/Elementary Probability/General Rules/Addition rule
Kansrekening,Kansrekening (ond.),Continue stochastische variabelen;Probability/Elementary Probability/Random variables
Kansrekening,Kansrekening (ond.),Discrete stochastische variabelen (elementair begrip);Probability/Elementary Probability/Random variables
Kansrekening,Kansrekening (ond.),Discrete stochastische variabelen (elementair begrip),Continue stochastische variabelen;Probability/Elementary Probability/Random variables
Kansrekening,Kansrekening (ond.),Kansverdeling,Kansverdeling steekproefgemiddelde (onafhankelijke steekproef uit verdeling);Probability/Elementary Probability/Random variables/Random sample
Kansrekening,Kansrekening (ond.),Kansverdeling,Kansverdeling steekproefgemiddelde (onafhankelijke steekproef uit verdeling),Continue stochastische variabelen;Probability/Elementary Probability/Random variables/Random sample
Kansrekening,Kansrekening (ond.),Kansverdeling,Kansverdeling steekproefgemiddelde (onafhankelijke steekproef uit verdeling),Discrete stochastische variabelen (elementair begrip);Probability/Elementary Probability/Random variables/Random sample
Kansrekening,Kansrekening (ond.),Kansverdeling,Normale verdeling,Productregel;Probability/Elementary Probability/General Rules/Multiplication rule
Kansrekening,Kansrekening (ond.),Kansverdeling,Voorwaardelijke kansen,Productregel;Probability/Elementary Probability/General Rules/Multiplication rule
Kansrekening,Kansrekening (ond.),Opstelregel;Probability/Elementary Probability/Random variables/Rules for expected values
Kansrekening,Kansrekening (ond.),Optelregel voor kans op vereniging van twee gebeurtenissen (algemeen);Probability/Elementary Probability/Random variables/Rules for expected values
Kansrekening,Kansrekening (ond.),Productregel;Probability/Elementary Probability/General Rules/Multiplication rule
Kansrekening,Kansrekening (ond.),Somregel;Probability/Elementary Probability/General Rules/Addition rule
Kansrekening,Kansrekening (ond.),Somregel,Productregel;Probability/Elementary Probability/General Rules/Multiplication rule
Kansrekening,Kansverdeling,Binomiale verdeling;Distributions/Discrete/Binomial
Kansrekening,Kansverdeling,Centrale limietstelling;Distributions/Limit Theorems/Central Limit Theorem
Kansrekening,Kansverdeling,Kansverdeling steekproefgemiddelde (onafhankelijke steekproef uit verdeling);Inferential Statistics/Sampling Distributions/Sample mean
Kansrekening,Kansverdeling,Normale benadering binomiale verdeling (niet: continuïteitscorrectie);Distributions/Discrete/Normal approximation to Binomial
Kansrekening,Kansverdeling,Normale verdeling;Distributions/Continuous/Normal
Kansrekening,Kansverdeling,Normale verdeling,Kansverdeling steekproefgemiddelde (onafhankelijke steekproef uit verdeling);Distributions/Continuous/Normal
Kansrekening,Kansverdeling,Normale verdeling,Normale benadering binomiale verdeling (niet: continuïteitscorrectie);Distributions/Continuous/Normal
Kansrekening,Kansverdeling,Stelling van Bayes;Inferential Statistics/Bayesian Statistics
Kansrekening,Kansverdeling,Uniforme verdeling;Distributions/Continuous/Uniform
"Kansrekening,Kansverdeling,Variantie van (discrete) toevalsvariabele; regels voor varianties; SD";Probability/Elementary Probability/Random variables/Variance
"Kansrekening,Kansverdeling,Verwachtingswaarde van (discrete) toevalvariabele; regels voor verwachtingswaarden";Probability/Elementary Probability/Random variables/Expected value
Kansrekening,Kansverdeling,Voorwaardelijke kansen;Probability/Elementary Probability/Conditional probability
